CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
25812042,Frederikssud Krisecenter,01/01/2010,Krisecenter,3600,,
25824237,Hjembæk Efterskole,,,,"95,4%",01008
25896564,Opholdsst. Birkemosegård,01/01/2014,Socialpædagogisk opholdssted,4700,,
25896564,Fonden/Den Selvej Inst Birkemosegård,,,,,
25916786,Base Camp,10/01/2010,Opholdssted,5600,,
25937295,Lystruphave Efterskole,01/01/2013,Efterskole,8654,,
26004659,Projekt Plan B,,,,,
26026059,Florenhus,01/01/2012,Botilbud midlertidigt,4230,,
26045592,Den selvej. inst. Dyssegården,01/04/2010,Opholdssted,2980,,
26046769,Samtaleværkstedet v/ Jesper Mathiasen,,,,,
26201446,Svennebjerggaard,11/01/2018,Opholdssted,5210,"95,4%",01008
26201705,Søbækskolen,,,,,
26309638,Magleby Fri- og Efterskole,01/01/2015,Efterskole,5935,,
26490286,Opholdsstedet Strandager,03/31/2005,Opholdssted,4050,,
26566398,Lundby Efterskole,,,,,
26646294,Fonden Kanonen,01/01/2007,Opholdssted,8382,,
26653932,Springbrættet,01/01/2007,Botilbud midlertidigt,6851,,
26689465,SVANEN,01/01/2007,Opholdssted,5600,,
26717086,Efterskolen Østergårds Udskolingskoncept,01/01/2007,Skoleophold,4760,,
26723817,Ungdomshøjskolen ved Ribe,,,,,
26874823,Den selvejende institution Marita,06/23/2008,Opholdssted,4700,,
26877741,Ungdomshøjskolen PTG,01/01/2007,Opholdssted med budget,6990,,
26909724,Fonden Koloni,01/01/2008,Aflastning,4350,,
26946891,Ringsted Krisecenter,01/01/2011,Opholdssted med budget,4100,,
26953545,Botilbud Feddet,01/01/2011,Opholdssted med budget,9493,,
26955084,Fonden Vestermarken,01/01/2007,Opholdssted,8305,,
26964660,Back2Care,,,,,
26980267,Bofællesskabet Ingersmind,05/01/2008,Bofællesskab,7755,,
26989264,Center for Kognitiv Adfærdsterapi,,,,,
27057853,Vædderbo,01/16/2008,Opholdssted,7900,,
27074987,Team One,01/01/2013,Opholdssted,2750,,
27079172,Det Lille Opholdssted Egholt,11/01/2007,Opholdssted,6064,,
27099602,Den Selvejende Institution Alfa - Fredensborg,02/06/2017,Andet,3480,"95,4%",01008
27117279,Familiecenter Dyreby,01/01/2007,Familiebehandling o.lign.,6854,,
27133290,Kongensgaard Efterskole,08/01/2017,Efterskole,,,
27134165,Dagbehandlingsskolen Fyrtårnet,,,,,
27165869,Jabes,08/05/2009,Opholdssted,4130,,
27190677,Stahlschmidt,,,,,
27227988,Opholdsstedet Skyttegården,07/26/2009,Andet,4863,,
27239501,Hammer & Co.,09/15/2008,Bofællesskab,1204,,
27263860,OASEN,01/01/2007,Opholdssted,8471,,
27351034,Specialisterne,01/01/2011,Erhvervsrettet uddannelse,2750,,
27352448,Opholdsstedet Arken,06/26/2017,Opholdssted,4440,,
27352448,Fonden/Den selvstændige Institution Opholdsstedet Arken,,,,,
27379966,Opholdsstedet Jungsgården,01/21/2009,Andet,4720,,
27419798,Vand og By Ungdom,06/15/2008,Opholdssted,8700,,
27438148,DEN SPECIALPÆDAGOGISKE DAGBEHANDLINGSINSTITUTION SPUTNIK ApS,,,,"95,4%",01008
27448909,Det Gamle Apotek I/S,08/01/2013,Socialpædagogisk opholdssted,4460,,
27479332,SÆTERGÅRDEN,01/01/2007,Opholdssted,3200,,
27591507,Casablanca Bo & Erhverv,01/01/2009,Opholdssted med budget,2500,,
27670040,Københavns idræt efterskole,04/01/2015,Efterskole,,,
27735428,Ballerup Låsesmedie,,,,,
27747590,Kickan L. Andersen,,,,,
27776760,Sønderbjerggård,01/01/2007,Opholdssted med budget,4295,,
27819559,Bente Aaskov,,,,,
27829317,Opholdssted Bogense,,,,,
27882013,UDVALGET FOR HUSMODERFERIE,,,,,
27888348,"FÆSTER Terapi, Pædagogik og Supervision",,,,,
28097778,Sundbogård,05/14/2008,Bofællesskab,5900,,
28181922,Skrænten,01/01/2007,Opholdssted med budget,2000,,
28186177,Skjoldborghus,08/01/2008,Opholdssted,9640,,
28258933,S/I Petersdal,,,,,
28306474,Zleep Hotel Ballerup,01/01/2011,Krisecenter,2750,,
28400365,Løvehjerte I/S,12/01/2009,Andet,4230,,
28470185,Fonden Carpe Diem Huset,01/01/2011,Opholdssted,,"95,4%",01008
28598084,IDRÆTSEFTERSKOLE  ULBØLLE,03/22/2007,Efterskole,5762,,
28618360,Move 1/ v. Pia Lund-Nielsen,,,,,
28910843,Hoptrup Efterskole,08/01/2017,Efterskole,6100,,
28935072,Karise efterskole,08/01/2012,Efterskole,4653,,
28968191,Den selvejende inst. Søstjerneskolen,,,,,
29089035,Psykolog Anne Blom Corlin,,,,,
29178954,Fonden Boskov,01/01/2009,Bofællesskab,2880,,
29188459,Bofællesskab Odsherred,01/01/2009,Bofællesskab,4573,,
29188475,Fakse Kommune,,,4640,,
29188505,Botilbuddet Florenshus,01/01/2009,Bofællesskab,4230,,
29188599,Bofællesskabet Violen,01/01/2010,Bofællesskab,4891,,
29188599,Marie Grubbe Skolen,01/01/2011,Andet,4850,,
29189625,Næstved kommune,,,4700,,
29189676,Bo og Naboskab Præstø,01/01/2009,Egen bolig,4720,,
29190623,Nødebogråd,09/01/2013,Spædbørnehjem,,,
29190909,Center for høretab,01/01/2008,Egen bolig,5800,,
29236038,FONDEN BAKKEGÅRDEN,01/01/2007,Opholdssted,8471,,
29236054,Fonden Spor 3 - Satelitten,05/05/2008,Socialpædagogisk opholdssted,8471,,
29268991,Opholdsstedet Clemens,01/01/2006,Andet,4760,,
29285993,Holmegaards Heldagsskole v/Jan Knudsen,,,,,
29422710,FULTON - STIFTELSEN,03/10/2009,Opholdssted,5610,,
29662398,MonaK,,,,,
29714711,Psykolog Mette Sofie Hyltoft Degn,,Psykolog,,,
29814600,Dagbehandlingsskolen Kompasset,,,,,
29866961,Psykolog Majken Olesen v/Majken Olesen,,Psykolog,,,
29896569,Movia,,,,,
29908958,Bramsnæsvig,,,,,
29982538,RED Safehouse,06/10/2016,Opholdssted,,,
30015878,Højer Design Efterskole,04/01/2015,Efterskole,6340,,
30016998,Behandlingsstedet Holbrogaard,11/10/2008,Andet,5600,,
